Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""kru university"")",Chrome 120.0.0.0,,,16-01-2024 15:33:18,16-01-2024 15:33:22,4.152s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:33:22,16-01-2024 15:33:24,2.040s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏกาญจนบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:33:24,16-01-2024 15:33:28,4.108s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:33:28,16-01-2024 15:33:28,0.100s,PASSED
,,,,,,,
Test Cases/UC02 - Search/TC0102 - Search By Keyword - kru university,Chrome 120.0.0.0,,,16-01-2024 15:33:28,16-01-2024 15:33:57,29.386s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:33:28,16-01-2024 15:33:29,0.600s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:33:29,16-01-2024 15:33:52,22.982s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""npru"")",Chrome 120.0.0.0,,,16-01-2024 15:33:52,16-01-2024 15:33:54,2.456s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:33:54,16-01-2024 15:33:55,0.658s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 120.0.0.0,,,16-01-2024 15:33:55,16-01-2024 15:33:57,2.577s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:33:57,16-01-2024 15:33:57,0.103s,PASSED
,,,,,,,
Test Cases/UC02 - Search/TC0103 - Search By Keyword-pbru,Chrome 120.0.0.0,,,16-01-2024 15:33:57,16-01-2024 15:34:26,28.319s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:33:57,16-01-2024 15:33:58,0.606s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:33:58,16-01-2024 15:34:22,23.866s,PASSED
"setText(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""pbru"")",Chrome 120.0.0.0,,,16-01-2024 15:34:22,16-01-2024 15:34:23,1.049s,PASSED
"click(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:34:23,16-01-2024 15:34:24,0.654s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:34:24,16-01-2024 15:34:26,2.040s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:34:26,16-01-2024 15:34:26,0.092s,PASSED
