Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Search By Keywoed,Chrome 120.0.0.0,,,16-01-2024 15:23:56,16-01-2024 15:24:44,48.141s,PASSED
,,,,,,,
Test Cases/TC0103 - Search By Keyword-pbru,Chrome 120.0.0.0,,,16-01-2024 15:23:56,16-01-2024 15:24:06,9.064s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:23:57,16-01-2024 15:23:58,1.226s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:23:58,16-01-2024 15:24:01,3.222s,PASSED
"setText(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""pbru"")",Chrome 120.0.0.0,,,16-01-2024 15:24:01,16-01-2024 15:24:03,1.501s,PASSED
"click(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:24:03,16-01-2024 15:24:03,0.546s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Chrome 120.0.0.0,,,16-01-2024 15:24:03,16-01-2024 15:24:05,2.273s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:24:05,16-01-2024 15:24:06,0.099s,PASSED
,,,,,,,
Test Cases/TC0102 - Search By Keyword - kru university,Chrome 120.0.0.0,,,16-01-2024 15:24:06,16-01-2024 15:24:14,7.966s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:24:06,16-01-2024 15:24:06,0.543s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:24:06,16-01-2024 15:24:08,1.993s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""npru"")",Chrome 120.0.0.0,,,16-01-2024 15:24:08,16-01-2024 15:24:10,2.047s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:24:10,16-01-2024 15:24:11,0.665s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏนครปฐม"", false)",Chrome 120.0.0.0,,,16-01-2024 15:24:11,16-01-2024 15:24:13,2.546s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 15:24:13,16-01-2024 15:24:14,0.101s,PASSED
,,,,,,,
Test Cases/TC0101 - Search By Keyword - npru,Chrome 120.0.0.0,,,16-01-2024 15:24:14,16-01-2024 15:24:21,7.680s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 15:24:14,16-01-2024 15:24:14,0.535s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 120.0.0.0,,,16-01-2024 15:24:14,16-01-2024 15:24:15,1.390s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""kru university"")",Chrome 120.0.0.0,,,16-01-2024 15:24:15,16-01-2024 15:24:18,2.735s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 120.0.0.0,,,16-01-2024 15:24:18,16-01-2024 15:24:19,0.647s,PASSED
