Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Search By Keywoed,Edge Chromium 120,,,16-01-2024 15:31:47,16-01-2024 15:32:53,1m - 6.663s,PASSED
,,,,,,,
Test Cases/UC01-Search By Keyword/TC0103 - Search By Keyword-pbru,Edge Chromium 120,,,16-01-2024 15:31:47,16-01-2024 15:31:57,9.970s,PASSED
"openBrowser("""")",Edge Chromium 120,,,16-01-2024 15:31:47,16-01-2024 15:31:48,1.362s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Edge Chromium 120,,,16-01-2024 15:31:48,16-01-2024 15:31:52,3.486s,PASSED
"setText(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""pbru"")",Edge Chromium 120,,,16-01-2024 15:31:52,16-01-2024 15:31:53,1.540s,PASSED
"click(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Edge Chromium 120,,,16-01-2024 15:31:53,16-01-2024 15:31:54,0.657s,PASSED
"verifyTextPresent(""มหาวิทยาลัยราชภัฏเพชรบุรี"", false)",Edge Chromium 120,,,16-01-2024 15:31:54,16-01-2024 15:31:57,2.413s,PASSED
closeBrowser(),Edge Chromium 120,,,16-01-2024 15:31:57,16-01-2024 15:31:57,0.193s,PASSED
,,,,,,,
Test Cases/UC01-Search By Keyword/TC0102 - Search By Keyword - kru university,Edge Chromium 120,,,16-01-2024 15:31:57,16-01-2024 15:32:07,9.812s,PASSED
"openBrowser("""")",Edge Chromium 120,,,16-01-2024 15:31:57,16-01-2024 15:31:57,0.642s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Edge Chromium 120,,,16-01-2024 15:31:57,16-01-2024 15:32:02,4.743s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""npru"")",Edge Chromium 120,,,16-01-2024 15:32:02,16-01-2024 15:32:03,1.036s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Edge Chromium 120,,,16-01-2024 15:32:03,16-01-2024 15:32:04,0.645s,PASSED
